src,tgt,tau,p_combined,weight_mean,weight_std,n_scenes,total_observations
ego_speed,q90_closing_rate,2,0.0,0.6099883263661035,0.10653132839406526,65,65
ego_speed,obj_count,1,0.0,0.6093705580368141,0.11185976589883453,49,49
ego_speed,q05_ttc_eff,1,0.0,0.6072583505151794,0.11309179964474428,55,55
ego_accel,ego_speed,2,0.0,0.6054016950859236,0.12146507752136104,96,96
obj_count,ego_accel,1,0.0,0.6015374840421924,0.09708758081763674,33,33
ego_accel,ego_accel,2,0.0,0.60062777142151,0.10822673866000525,166,166
ego_accel,q05_ttc_eff,2,0.0,0.599274328901811,0.10359185120986916,46,46
q90_closing_rate,ego_accel,2,0.0,0.59812955518107,0.08946201542783028,62,62
q10_risk_speed,ego_accel,2,0.0,0.5971879420318358,0.10277342499918754,54,54
ego_accel,min_distance_proxy,2,0.0,0.5942119737174874,0.09403847897933237,41,41
q90_closing_rate,ego_accel,1,0.0,0.5939926912004511,0.08088663765997316,46,46
ego_accel,obj_count,2,0.0,0.5931813171639169,0.09176390276704477,46,46
ego_accel,q10_risk_speed,2,0.0,0.5920172043247828,0.1132629961044069,55,55
min_distance_proxy,ego_accel,1,0.0,0.5917570941725921,0.09764819859989156,37,37
min_distance_proxy,ego_accel,2,0.0,0.5908501580777918,0.09281442997199901,45,45
ego_accel,q05_ttc_eff,1,0.0,0.5894032233274256,0.0942728424041904,49,49
q05_ttc_eff,ego_accel,1,0.0,0.5883434911746682,0.10005522081563052,44,44
ego_accel,min_distance_proxy,1,0.0,0.5840926319361422,0.109603467364966,45,45
ego_accel,q90_closing_rate,2,0.0,0.5835363232280155,0.08981579762333124,55,55
q05_ttc_eff,ego_accel,2,0.0,0.5810574223711681,0.11446080511000349,53,53
q05_ttc_eff,ped_count,2,1.0099473339741927e-05,0.5539289053865872,0.006967251203898128,2,2
ped_count,ego_accel,2,3.7515311551716835e-05,0.5309282053948817,0.09810791388935713,2,2
ego_accel,ped_count,2,2.6578337726346213e-05,0.5286401858395193,0.03728198276113731,2,2
ego_speed,ped_count,2,2.1564519059324994e-08,0.5222315984762352,0.017072920489288285,4,4
ped_count,ego_speed,1,1.1682661901213365e-06,0.5052839186669397,0.04951249126392705,3,3
